
xpos:241.15171984315276 ypos:462.20516801359395
xpos:682.1267690975931 ypos:12.234859045138968

xpos:656.4293790765851 ypos:412.15308790040604

xpos:784.0014882388822 ypos:721.0795708944961

xpos:241.546410536591 ypos:705.9127346257118

xpos:777.8404663426483 ypos:241.75659475654248

xpos:870.8541978047533 ypos:180.87214573855732

xpos:600.9435204729342 ypos:257.59108140721514

xpos:69.96384606532303 ypos:192.71532669654113

xpos:703.8919131830472 ypos:84.32522023747487

xpos:24.30209258444005 ypos:712.0014253344445

xpos:406.63725391298 ypos:320.1070796761632

xpos:485.09458516692985 ypos:384.31076662235506

xpos:526.422446798675 ypos:296.72562739056883

xpos:150.58887522241804 ypos:380.8225671913931

xpos:363.19540678760495 ypos:748.0552948451689

xpos:982.6751833313737 ypos:233.91756094181292

xpos:194.72718999528837 ypos:201.9330597595909

xpos:147.1034503291857 ypos:779.8606125753292

xpos:209.77947162825495 ypos:493.17790224080176

xpos:768.7027430570689 ypos:686.6884459443708

xpos:463.1265840687213 ypos:721.7131704224576

xpos:747.0094603871366 ypos:602.07629248318

xpos:814.7263245900397 ypos:795.226750739374

xpos:111.51821310385401 ypos:448.02884307942765

xpos:117.09928371861777 ypos:589.9092887764372

xpos:136.5709736325197 ypos:711.9478964740422

xpos:352.5791164810037 ypos:315.75987736570886

xpos:190.6242122498436 ypos:105.1430197677223

xpos:671.5058676658206 ypos:547.3699851571549

xpos:703.2019747692453 ypos:109.91150113047041

xpos:199.05446703295559 ypos:782.2830746591602

xpos:499.9530136320297 ypos:121.61376449937835

xpos:825.2785400021048 ypos:614.4419413225723

xpos:380.6891621868604 ypos:226.14906513413376

xpos:310.4008313763318 ypos:213.34906093472145

